quote_id,page,author,quote_text,tags,tag_count,source_site
quote-001,1,Albert Einstein,"The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.","change;deep-thoughts;thinking;world",4,quotes.toscrape.com
quote-002,1,J.K. Rowling,"It is our choices, Harry, that show what we truly are, far more than our abilities.","abilities;choices",2,quotes.toscrape.com
quote-003,1,Albert Einstein,"There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.","inspirational;life;live;miracle;miracles",5,quotes.toscrape.com
quote-004,1,Jane Austen,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.","aliteracy;books;classic;humor",4,quotes.toscrape.com
quote-005,1,Marilyn Monroe,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.","be-yourself;inspirational",2,quotes.toscrape.com
quote-006,1,Albert Einstein,"Try not to become a man of success. Rather become a man of value.","adulthood;success;value",3,quotes.toscrape.com
quote-007,1,Andre Gide,"It is better to be hated for what you are than to be loved for what you are not.","life;love",2,quotes.toscrape.com
quote-008,1,Thomas A. Edison,"I have not failed. I've just found 10,000 ways that won't work.","edison;failure;inspirational;paraphrased",4,quotes.toscrape.com
quote-009,1,Eleanor Roosevelt,"A woman is like a tea bag; you never know how strong it is until it's in hot water.","misattributed-eleanor-roosevelt",1,quotes.toscrape.com
quote-010,1,Steve Martin,"A day without sunshine is like, you know, night.","humor;obvious;simile",3,quotes.toscrape.com

